authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
J. Alroy,M. Sommers,J. Alroy,5,H. H.,Beaver,A. J.,Fabian,,1998,Color patterns in Mississippian (Chesterian) blastoids,Journal of Paleontology,,72,2,332,338,journal article,stated without evidence,,,,,NA,1998-11-19 13:25:30,2009-11-23 09:27:11
J. Alroy,M. Sommers,J. Alroy,11,D. L.,Meyer,W. I.,Ausich,,1997,"Morphologic variation within and among populations of the camerate crinoid Agaricocrinus (Lower Mississippian, Kentucky and Tennessee):  Breaking the spell of the mushroom",Journal of Paleontology,,71,5,896,917,journal article,stated without evidence,,,,,NA,1998-11-19 13:25:30,2009-11-23 09:24:02
J. Alroy,M. Sommers,J. Alroy,17,J. M.,Adrain,G. D.,Edgecombe,,1997,"Silurian (Wenlock) Calymenid trilobites from the Cape Phillips Formation, central Canadian Arctic",Journal of Paleontology,,71,4,657,682,journal article,stated without evidence,,,,,NA,1999-02-23 12:10:25,2009-11-23 09:24:02
J. Alroy,M. Sommers,P. Wagner,19,J. M.,Adrain,L.,Ramskold,,1997,"Silurian Odontopleurinae (Trilobita) from the Cape Phillips Formation, Arctic Canada",Journal of Paleontology,,71,2,237,261,journal article,stated with evidence,English,,,,NA,1999-02-23 14:43:20,2013-02-16 11:43:10
M. Patzkowsky,M. Patzkowsky,A. Clement,29,T. D.,Olszewski,M. E.,Patzkowsky,,1999,T.D. Olszewski''s Ph.D. - Penn State University,,,,,,,Ph.D. thesis,stated without evidence,English,,,,NA,2002-03-04 16:40:28,2013-02-12 07:47:56
M. Patzkowsky,M. Patzkowsky,,34,W.,Lee,C.O.,Nickell,"J.S. Williams, L.G. Henbest",1938,Stratigraphic and Paleontologic Studies of the Pennsylvanian and Permian Rocks in North-Central Texas,The University of Texas Publication,,,3801,,,,stated without evidence,,,,,NA,1999-03-11 11:07:05,1999-03-12 06:07:05
F. Fursich,F. Fursich,P. Wagner,37,F. T.,F�rsich,D. K.,Pandey,,1999,"Genesis and environmental significance of Upper Cretaceous shell concentrations from the Cauvery Basin, southern India","Palaeogeography, Palaeoclimatology, Palaeoecology",,145,1,119,139(21),journal article,stated without evidence,English, http://dx.doi.org/10.1016/S0031-0182(98)00099-6,,,NA,1999-03-27 15:29:57,2015-11-19 11:30:34
T. Hansen,M. Sommers,A. Clement,39,S. R.,Elder,,,,1981,"Fossil assemblages of a marine transgressive sand, Moody''s Branch Formation (Upper Eocene), Louisiana and Mississippi","Unpublished M.A. Thesis, University of Texas at Austin",,,,1,140,unpublished,stated without evidence,English,,,,,1999-04-08 08:54:57,2013-02-12 08:17:27
F. Fursich,F. Fursich,P. Wagner,41,F. T.,Fursich,,,,1999,Unpublished data,,,,,,,unpublished,stated without evidence,English,,,,NA,2002-03-04 16:40:29,2009-12-15 09:07:33
T. Hansen,M. Sommers,A. Clement,42,T. A.,Hansen,,,,1978,Ecological control of evolutionary rates in Paleocene - Eocene marine molluscs,"Ph.D. Thesis, Yale University",,,,1,310,Ph.D. thesis,stated without evidence,English,,,,,1999-04-15 08:23:44,2013-02-12 08:26:08
J. Alroy,M. Sommers,A. Clement,44,D. H.,Dailey,W. P.,Popenoe,,1966,"Mollusca from the upper Cretaceous Jalama Formation, Santa Barbara County, California",University of California Publications in Geological Sciences,,65,,1,41,journal article,stated without evidence,English,,,,NA,1999-05-13 10:15:27,2013-02-12 08:27:50
J. Alroy,M. Sommers,A. Clement,45,J. R.,Gill,W. A.,Cobban,P. M. Kier,1966,The Red Bird Section of the Upper Cretaceous Pierre Shale in Wyoming,United States Geological Survey Professional Paper,,393-A,,1,73,journal article,stated without evidence,English,,,,NA,1999-05-17 11:52:35,2013-02-12 08:34:06
M. Patzkowsky,K. Layou,J. Alroy,47,R.,Casey,,,,1961,The stratigraphical palaeontology of the Lower Greensand,Palaeontology,,3,4,487,621,journal article,not entered,English,,,,NA,1999-06-07 09:05:54,2009-11-23 10:00:33
J. Alroy,M. Sommers,J. Alroy,48,M. A.,Murphy,P. U.,Rodda,,1960,Mollusca of the Cretaceous Bald Hills Formation of California,Journal of Paleontology,,34,5,835,858,journal article,stated without evidence,,,,,NA,1999-06-08 10:58:15,2009-11-23 09:24:02
M. Patzkowsky,K. Layou,A. Hendy,52,R. W.,Scott,,,,1970,"Paleoecology and Paleontology of the Lower Cretaceous Kiowa Formation, Kansas",The University of Kansas Paleontological Contributions,,,52,1,94,serial monograph,stated with evidence,English,,,,NA,1999-06-15 09:48:03,2007-03-02 04:02:26
L. Ivany,L. Ivany,A. Clement,72,L. C.,Ivany,,,,1997,"Faunal stability and environmental change in the middle Eocene Gulf Coastal Plain (PhD Thesis, Harvard University)",,,,,1,221,Ph.D. thesis,stated without evidence,English,,,,,2002-03-04 16:40:29,2013-02-16 09:45:17
M. Patzkowsky,K. Layou,A. Clement,74,M. K.,Howarth,N. J.,Morris,,1998,"The Jurassic and Lower Cretaceous of Wadi Hajar, southern Yemen",Bulletin of the Natural History Museum (Geology),,54,1,1,32,journal article,stated without evidence,English,,,,NA,1999-07-08 08:28:38,2013-02-16 09:54:51
A. Miller,A. Webber,,75,W. A.,Norris,,,,1991,Paleoecology and Paleocommunity Analysis of Green Shale Faunas from the Fort Payne Formation (Lower Mississippian) of South-central Kentucky and North-central Tennessee,,,,,1,226,,stated without evidence,,,,,NA,1999-07-13 08:30:39,1999-07-14 01:30:39
C. Marshall,S. Low,A. Clement,93,W. P.,Elder,,,,1987,"The paleoecology of the Cenomanian-Turonian (Cretaceous) stage boundary extinctions at Black Mesa, Arizona",Palaios,,2,1,24,40,journal article,stated without evidence,English,10.2307/3514570,,,NA,1999-07-16 11:20:14,2013-02-16 10:26:49
A. Miller,P. Novack-Gottshall,B. Kr�ger,117,J. F.,Bockelie,,,,1984,"The Diploporita of the Oslo region, Norway",Palaeontology,,27,1,1,68,journal article,stated with evidence,English,,,,NA,1999-07-18 14:01:06,2014-10-09 17:34:13
A. Miller,D. Carlson,A. Clement,122,J. G.,Johnson,G.,Klapper,M. Elrick,1996,"Devonian Transgressive-Regressive Cycles and Biostratigraphy, Northern Antelope Range, Nevada: Establishment of Reference Horizons for Global Cycles",Palaios,,11,1,3,14,journal article,stated without evidence,English,10.2307/&#8203;3515112,,,NA,1999-07-19 06:45:59,2013-02-18 16:07:22
M. Patzkowsky,K. Layou,,124,L. D.,Toulmin,,,,1977,Stratigraphic Distribution of Paleocene and Eocene Fossils in the Eastern Gulf Coast Region	,"Geological Survey of Alabama, Monograph 13",,1,,1,602,,stated without evidence,,,,,,1999-07-21 04:50:33,1999-07-21 21:50:33
A. Miller,A. Webber,,126,T. H.,Henry,M.,"Gordon, Jr.","S. P. Schweinfurth, W. H. Gillespie",1985,"Significance of the Goniatite Bilingulites eliasi and associated biotas, Parkwood Formation and Bangor Limestone, Northeastern Alabama",Journal of Paleontolgy,,59,5,1138,1145,,stated without evidence,,,,,NA,1999-07-21 09:50:41,1999-07-22 02:50:41
J. Alroy,M. Sommers,A. Clement,134,J. M.,Hurst,R. K.,Pickerill,,1986,"The relationship between sedimentary facies and faunal associations in the Llandovery siliclastic Ross Brook Formation, Arisaig, Nova Scotia",Canadian Journal of Earth Science,,23,,705,726,journal article,stated without evidence,English,10.1139/e86-070,,,NA,1999-07-23 12:41:54,2013-02-18 16:22:50
M. Patzkowsky,K. Layou,,145,C. E.,Macellari,,,,1988,"Stratigraphy, sedimentology, and paleoecology of Upper Cretaceous/Paleocene shelf-deltaic sediments of Seymour Island",Geological Society of America-Memoir ,,,169,25,53,,stated without evidence,,,,,NA,1999-07-27 06:44:14,1999-07-27 23:44:14
M. Patzkowsky,K. Layou,,145,C. E.,Macellari,,,,1988,"Stratigraphy, sedimentology, and paleoecology of Upper Cretaceous/Paleocene shelf-deltaic sediments of Seymour Island",Geological Society of America-Memoir ,,,169,25,53,,stated without evidence,,,,,,1999-07-27 06:44:14,1999-07-27 23:44:14
A. Miller,P. Novack-Gottshall,J. Alroy,162,A.,Williams,M. G.,Lockley,J. M. Hurst,1981,Benthic palaeocommunities represented in the Ffairfach Group and coeval Ordovician successions of Wales,Palaeontology,,24,4,661,694,journal article,not entered,English,,,,NA,1999-07-29 05:22:58,2011-10-18 17:10:43
J. Alroy,J. Alroy,,193,P.,Wallace,,,,1978,Homeomorphy between Devonian brachiopod communities in France and Iowa,Lethaia,,11,,259,272,,stated without evidence,English,,,,NA,1999-07-31 14:56:17,1999-08-01 07:56:17
J. Alroy,J. Alroy,J. Alroy,194,R. C.,Gutschick,J.,Rodriguez,,1990,By-the-wind-sailors from a Late Devonian foreshore environment in western Montana,Journal of Paleontology,,64,1,31,39,journal article,stated without evidence,English,,,,NA,1999-08-01 18:44:32,2009-11-23 09:26:36
C. Marshall,S. Low,,243,A. S.,Kassab,M. M.,Ismael,,1994,"Upper Cretaceous invertebrate fossils from the area northeast of Abu Zuneima, Sinai, Egypt ","Neues Jahrbuch f�r Geologie und Pal�ontologie, Abhandlungen",,191,2,221,249,,stated without evidence,,,,,NA,1999-08-09 13:23:02,1999-08-10 06:23:02
P. Wagner,P. Wagner,P. Wagner,255,R. B.,Blodgett,J. G.,Johnson,,1992,Early Middle Devonian (Eifelian) Gastropods of Central Nevada,Palaeontographica Abteilung A,,222,,85,139,serial monograph,stated with evidence,English,,,,NA,1999-08-10 14:18:32,2014-10-28 06:47:13
J. Alroy,M. Sommers,,274,R.,Zhang,J.,"Pojeta, Jr.",,1986,Devonian sections in Guangxi from which pelecypods were collected,"Devonian rocks and Lower and Middle pelecypods of Guangxi, China and the Traverse Group of Michigan.  United States Geological Survery Professional Paper",,1394,E,33,43,,stated without evidence,,,,,NA,1999-08-12 12:43:16,1999-08-13 05:43:16
M. Kosnik,M. Kosnik,,281,N. F.,Sohl,C. F.,Koch,,1987,Upper Cretaceous (Maestrichtian) larger invertebrates from the Haustator bilira Assemblage Zone in the Atlantic Coastal Plain with further data for the East Gulf,USGS Open File Report,,87-194,,1,172,,stated without evidence,,,,,NA,1999-08-14 11:57:57,1999-08-15 04:57:57
M. Kosnik,M. Kosnik,,282,N. F.,Sohl,C. F.,Koch,,1984,Upper Cretaceous (Maestrichtian) larger invertebrate Fossils from the Haustator bilira Assemblage Zone in the west gulf Coastal Plain,USGS Open File Report,,84-687,,1,282,,stated without evidence,,,,,NA,1999-08-14 11:59:37,1999-08-15 04:59:37
M. Kosnik,M. Kosnik,M. Uhen,283,N. F.,Sohl,C. F.,Koch,,1983,Upper Cretaceous (Maestrichtian) Mollusca from the Haustator bilira Assemblage Zone in the East Gulf Coastal Plain,USGS Open File Report,,83-451,,1,239,journal article,stated without evidence,English,,,,NA,1999-08-14 12:01:13,2011-07-08 03:50:04
M. Kosnik,M. Kosnik,,284,L. W.,Stephenson,,,,1952,Larger invertebrate fossils of the Woodbine formation (Cenomanian) of Texas,USGS Professional Paper,,,242,1,225,,stated without evidence,,,,,NA,1999-08-14 16:27:08,1999-08-15 09:27:08
A. Miller,P. Novack-Gottshall,,287,X.,Wang,L.,Xian,"S. Ni, Q. Zheng, G. Xu, T. Zhou, C. Lai, Z. Li",1987,Biostratigraphy of the Yangtze Gorge Area.  Part (2)  Early Paleozoic Era,"Geological Publishing House,  Beijing",,,,43,142,,stated without evidence,,,,,NA,1999-08-16 16:39:12,1999-08-17 09:39:12
A. Miller,P. Novack-Gottshall,,288,R.,Wang,,,,1981,Stratigraphic Summary of the Southwestern Region of China,"Institute of Geology and Mine Deposit at Chengdu,  Ministry of Geology (not published, copy of article deposited with A. I. Miller at the University of Cincinnati, received through S. Mao)",,,,14,61,,stated without evidence,,,,,NA,1999-08-16 16:39:15,1999-08-17 09:39:15
J. Alroy,J. Alroy,J. Alroy,291,E. K.,Toolson,B. S.,Kues,,1996,"Decapod crustaceans from the Semilla Sandstone Member, Mancos Shale (Upper Cretaceous), north-central New Mexico",Journal of Paleontology,,70,1,111,116,journal article,stated without evidence,English,,,,NA,1999-08-27 15:48:11,2009-11-23 09:27:58
J. Alroy,J. Alroy,J. Alroy,310,R. M.,Feldmann,S.,Casadio,"L. Chirino-Galvez, and M. Aguirre-Urreta",1995,"Fossil decapod crustaceans from the Jaguel and Roca Formations (Maastrichtian-Danian) of the Neuquen Basin, Argentina",Journal of Paleontology,,69,5 II,1,22,journal article,stated without evidence,English,,,,NA,1999-09-01 08:47:19,2009-11-23 09:24:02
J. Alroy,J. Alroy,J. Alroy,310,R. M.,Feldmann,S.,Casadio,"L. Chirino-Galvez, and M. Aguirre-Urreta",1995,"Fossil decapod crustaceans from the Jaguel and Roca Formations (Maastrichtian-Danian) of the Neuquen Basin, Argentina",Journal of Paleontology,,69,5 II,1,22,journal article,stated without evidence,English,,,,,1999-09-01 08:47:19,2009-11-23 09:24:02
A. Miller,K. Layou,,315,E. A.,CoBabe,W. D.,Allmon,,1994,"Effects of sampling on paleoecologic and taphonomic analyses in high-diversity fossil accumulations:  an example from the Eocene Gosport Sand, Alabama	",Lethaia,,27,,167,178,,stated without evidence,,,,,,1999-09-22 06:08:54,1999-09-22 23:08:54
S. Holland,S. Holland,J. Ju,316,E.,Dalve,,,,1948,The fossil fauna of the Ordovician in the Cincinnati Region,"University Museum, Department of Geology and Geography, University of Cincinnati",,,,1,56,journal article,stated without evidence,English,,,,NA,1999-09-23 08:23:10,2016-11-24 07:52:15
A. Miller,K. Layou,,318,R. J.,Powell,G. R.,Baum,,1982,Eocene biostratigraphy of South Carolina and its relationship to Gulf Coastal Plain zonations and global changes of coastal onlap,Geological Society of America Bulletin,,93,,1099,1108,,stated without evidence,,,,,,1999-09-27 05:14:26,1999-09-27 22:14:26
A. Miller,K. Layou,,319,P. M.,Kier,,,,1980,"The Echinoids of the Middle Eocene Warley Hill Formation, Santee Limestone, and Castle Hayne Limestone of North and South Carolina",Smithsonian Contributions to Paleobiology,,39,,1,102,,stated without evidence,,,,,,1999-09-29 05:37:59,1999-09-29 22:37:59
L. Ivany,S. DeLong,,323,D. T.,Dockery,,,,1982,Lower Oligocene Bivalvia of the Vicksburg Group in Mississippi,Mississippi Department of Natural Resources Bureau of Geology,,123,,1,261,,stated without evidence,,,,,NA,2002-03-04 16:40:30,2002-03-05 11:40:30
A. Miller,K. Layou,,333,T. A.,Hansen,B.,Upshaw III,"E. G. Kauffman, W. Gose",1993,Patterns of molluscan extinction and recovery across the Cretaceous-Tertiary boundary in east Texas; report on new outcrops,Cretaceous Research,,14,,685,706,,stated without evidence,,,,,NA,1999-10-13 08:55:25,1999-10-14 01:55:25
A. Miller,K. Layou,,333,T. A.,Hansen,B.,Upshaw III,"E. G. Kauffman, W. Gose",1993,Patterns of molluscan extinction and recovery across the Cretaceous-Tertiary boundary in east Texas; report on new outcrops,Cretaceous Research,,14,,685,706,,stated without evidence,,,,,,1999-10-13 08:55:25,1999-10-14 01:55:25
A. Miller,K. Layou,,334,T. A.,Hansen,B. R.,Farrell,"B. Upshaw, III",1993,The first 2 million years after the Cretaceous-Tertiary boundary in east Texas:  rate and paleoecology of the molluscan recovery,Paleobiology,,19,2,251,265,,stated without evidence,,,,,,1999-10-20 05:13:02,1999-10-20 22:13:02
J. Alroy,J. Alroy,,339,D. D.,Gillette,M. C.,Hayden,A. L. Titus,1999,Occurrence and biostratigraphic framework of a plesiosaur from the Upper Cretaceous Tropic Shale of southwestern Utah,Utah Geological Survey Miscellaneous Publication,,99-1,,269,273,,stated without evidence,English,,,,NA,1999-10-31 12:14:31,1999-11-01 07:14:31
A. Miller,K. Layou,,347,C. R.,Clement,,,,1982,"The Occurrence and Paleoecology of Echinoderm Asseblages in the Ludlowville Shales (Middle Devonian) of western Erie County, New York",unpublished M.S. thesis,,,,1,110,,stated without evidence,,,,,NA,1999-11-08 11:56:31,1999-11-09 06:56:31
J. Alroy,M. Sommers,M. Uhen,349,W. J.,Sando,M.,"Gordon, Jr.",J. T. Dutro,1975,Stratigraphy and geologic history of the Amsden Formation (Mississippian and Pennsylvanian) of Wyoming,United States Geological Survey Professional Paper,,848A,,1,83,journal article,stated without evidence,English,,,,NA,1999-11-15 08:54:32,2017-02-02 12:32:41
J. Alroy,M. Sommers,J. Ju,353,L.,Ferguson,,,,1962,The paleoecology of a Lower Carboniferous marine transgression,Journal of Paleontology,,36,,1090,1107,journal article,stated without evidence,English,,,,NA,1999-11-18 09:34:05,2016-11-27 15:04:40
J. Alroy,M. Sommers,J. Alroy,363,J.,Jin,P.,Copper,,1999,"The deep-water brachiopod Dicoelosia King, 1850, from the early Silurian tropical carbonate shelf of Anticosti Island, eastern Canada",Journal of Paleontology,,73,6,1042,1055,journal article,stated without evidence,,,,,NA,1999-12-01 11:58:48,2009-11-23 09:25:29
J. Alroy,M. Sommers,J. Alroy,366,S. S.,Beus,,,,1984,Fossil associations in the High Tor Limestone (Lower Carboniferous) of South Wales,Journal of Paleontology,,58,3,651,667,journal article,stated without evidence,,,,,NA,1999-12-07 11:37:44,2009-11-23 09:25:29
A. Miller,K. Layou,,388,P.,Morzadec,F.,Paris,"Y. Plusquellec, P.-R. Rachebouef, M. Weyant",1991,La limite Lochkovien-Praguien (Devonien inferieur) dans le Massif armoricain: especes index et correlations,"Comptes Rendus de l''Academie des Sciences, Serie II",,313,,901,908,,stated without evidence,French,,,,NA,2000-01-20 09:30:44,2000-01-21 04:30:44
A. Miller,K. Layou,J. Alroy,391,W. I.,Ausich,D. L.,Meyer,,1992,Crinoidea Flexibilia (Echinodermata) from the Fort Payne Formation (Lower Mississippian; Kentucky and Tennessee),Journal of Paleontology,,66,5,825,838,journal article,stated without evidence,,,,,NA,2000-02-07 22:00:00,2009-11-23 09:25:29
A. Miller,K. Layou,J. Alroy,393,T. L.,De Keyser,,,,1977,Late Devonian (Frasnian) brachipod community patterns in western Canada and Iowa,Journal of Paleontology,,51,1,181,196,journal article,stated without evidence,,,,,NA,2000-02-11 08:46:36,2009-11-23 09:25:29
A. Miller,K. Layou,,397,C. W.,Stock,,,,1982,Upper Devonian (Frasnian) Stromatoporoidea of north-central Iowa:  Mason City Member of the Shell Rock Formation,Journal of Paleontology	,,56,3,654,679,,stated without evidence,,,,,NA,2000-02-14 14:04:14,2000-02-15 09:04:14
A. Miller,K. Layou,,410,D. P.,Brewster,,,,1984,"Stratigraphy, Biostratigraphy, and Depositonal History of the Big Snowy and Amsden Formations (Carboniferous) of Southwestern Montana","unpublished M.A. thesis, Indiana University ",,,,1,164,,stated without evidence,,,,,NA,2000-03-12 22:00:00,2000-03-13 17:00:00
A. Miller,K. Layou,,414,J. A.,Waters,,,,1978,"The Paleontology and Paleoecology of the Lower Bangor Limestone (Chesterian, Mississippian)in northwestern Alabama","unpublished Ph.D. dissertation, Indiana University",,,,1,193,,stated without evidence,,,,,NA,2000-03-14 15:39:42,2000-03-15 10:39:42
L. Ivany,L. Ivany,,415,D. M.,Haasl,T.A.,Hansen,,1996,Timing of latest Eocene molluscan extinction patterns in Mississippi,Palaios,,11,5,487,494,,stated without evidence,,,,,,2002-03-04 16:40:30,2002-03-05 11:40:30
A. Miller,K. Layou,,435,A. S.,Horowitz,,,,1956,Fauna of Glen Dean Limestone (Chester) in Indiana and Northern Kentucky,"unpublished Ph.D. thesis, Indiana University",,,,1,449,,stated without evidence,,,,,NA,2000-04-12 10:10:01,2000-04-13 03:10:01
J. Alroy,M. Sommers,,437,C. S.,"Bartlett, Jr.",H. W.,Webb,,1971,"Geology of the Bristol and Wallace quadrangles, Virginia",Virginia Division of Mineral Resources Report of Investigations,,25,,1,93,,stated without evidence,,,,,NA,2000-04-14 14:40:19,2000-04-15 07:40:19
A. Miller,K. Layou,,438,P. J.,Renzetti,,,,1961,Fauna of the Threeforks Shale (Devonian) of Southwestern Montana,"unpublished Ph.D. thesis, Indiana University",,,,1,342,,stated without evidence,,,,,NA,2000-04-18 10:29:15,2000-04-19 03:29:15
A. Miller,K. Layou,,439,J.,Rodriguez,,,,1960,"Invertebrate Fauna of the Golconda Formation (Middle Chester) of Indiana, Western Kentucky, and Southern Illinois","unpublished Ph.D. thesis, Indiana University",,,,1,259,,stated without evidence,,,,,NA,2000-04-20 08:06:11,2000-04-21 01:06:11
J. Alroy,M. Sommers,J. Ju,442,J.,Rodriguez,R. C.,Gutschick,,1967,Brachiopods from the Sappinton Formation (Devonian - Mississippian) of western Montana,Journal of Paleontology,,41,2,364,384,journal article,stated without evidence,English,,,,NA,2000-04-27 15:03:55,2016-12-08 18:06:08
M. Kosnik,M. Kosnik,,444,L. W.,Stephenson,,,,1941,The larger invertebrate fossils of the Navarro group of Texas,The University of Texas Publication,,4101,,1,625,,stated without evidence,,,,,NA,2002-03-04 16:40:30,2002-03-05 11:40:30
L. Ivany,E. Kowalski,P. Wagner,447,F. S.,MacNeil,D. T.,Dockery,,1984,"Lower Oligocene Gastropoda, Scaphopoda, and Cephalopoda of the Vicksburg Group in Mississippi","Mississippi Department of Natural Resources, Bureau of Geology Bulletin",,124,,1,415,serial monograph,stated without evidence,English,,,,NA,2000-05-03 10:06:44,2016-03-24 03:58:37
M. Patzkowsky,K. Straub,J. Alroy,450,J. H.,Stitt,P.J.,Perfetta,,2000,"Trilobites, Biostratigraphy, and Lithostratigraphy of the Crepicephalus and Aphelaspis zones, Lower Deadwood formation (Marjuman and Steptoean Stages, Upper Cambrian), Black Hills, South Dakota",Journal of Paleontology,,74,2,199,223,journal article,stated without evidence,,,,,NA,2002-03-04 16:40:30,2009-11-23 09:24:02
A. Miller,K. Layou,,453,J. V.,Neil,,,,1982,The Early Devonian Fauna of the Mt. Ida Formation in the Heathcote District,Victorian Naturalist,,99,5,195,201,,stated without evidence,,,,,NA,2000-05-10 08:43:39,2000-05-11 01:43:39
J. Alroy,M. Sommers,J. Ju,455,G. D.,Robinson,,,,1963,"Geology of the Three Forks Quadrangle, Montana",United States Geological Survey Professional Paper,,370,,1,143,journal article,stated without evidence,English,,,,NA,2000-05-11 08:15:54,2016-12-08 17:41:38
M. Kosnik,M. Kosnik,,463,N. F.,Sohl,,,,1960,"Archeogastropoda, Mesogastropoda and stratigraphy of the Ripley, Owl Creek, and Prairie Bluff Formations",US Geological Survey Professional Paper,,331,,1,151,,stated without evidence,,,,,NA,2002-03-04 16:40:30,2002-03-05 11:40:30
M. Kosnik,M. Kosnik,,467,N. F.,Sohl,R. A.,Christopher,,1983,The Black Creek-Peedee formational contact (Upper Cretaceous) in the Cape Fear river region of North Carolina,US Geological Survey Professional Paper,,1285,,1,37,,stated without evidence,,,,,NA,2002-03-04 16:40:30,2002-03-05 11:40:30
L. Ivany,E. Kowalski,L. Villier,469,D. B.,Blake,R. B.,Aronson,,1998,"Eocene stelleroids (Echinodermata) at Seymour Island, Antarctic Peninsula",Journal of Paleontology,,72,2,339,353,journal article,stated without evidence,English,,,,,2000-05-23 07:25:54,2006-04-19 19:49:08
A. Miller,P. Novack-Gottshall,,475,,Guizhou Stratigraphic Work Group,,,,1977,"Regional stratigraphic table of the southwestern region of China, Guizhou part","Geological Publishing House, Beijing",,,,,,,stated without evidence,,,,,NA,2000-05-24 07:17:23,2000-05-25 00:17:23
A. Miller,P. Novack-Gottshall,,476,,Hunan Geology and Mine Deposit Bureau,,,,1988,"Summary of regional geology of Hu''nan Province, China","Geological Publishing House, Beijing, China",,,,,,,stated without evidence,,,,,NA,2000-05-24 08:13:14,2000-05-25 01:13:14
A. Miller,P. Novack-Gottshall,,477,,Stratigraphic Group of Central South China,,,,1974,Regional stratigraphic data of central South China,"Geological Publishing House, Beijing, China",,,,,,,stated without evidence,,,,,NA,2000-05-24 08:16:02,2000-05-25 01:16:02
A. Miller,P. Novack-Gottshall,,478,,"Stratigraphic Group of Yunnan, China",,,,1978,"Regional stratigraphic data of Southwest China, Yunnan Province","Geological Publishing House, Beijing, China",,,,,,,stated without evidence,,,,,NA,2000-05-24 08:17:57,2000-05-25 01:17:57
A. Miller,P. Novack-Gottshall,,481,,"Stratigraphic Group of AnHui, China",,,,1978,"Regional stratigraphic table of Eastern China, AnHui Province","Geological Publishing House, Beijing, China",,,,,,,stated without evidence,,,,,NA,2000-05-24 16:06:35,2000-05-25 09:06:35
A. Miller,P. Novack-Gottshall,,482,,Academy of Geological Sciences,,Jiangsu Bureau of Petroleum Prospecting,"Nanjing Institute of Geology and Paleontology, Academia Sinica",1988,Sinian-Triassic biostratigraphy of the Lower Yangtze peneplatform in Jiangsu Region,"Nanjing University Press, Nanjing, China",,,,,,,stated without evidence,,,,,NA,2000-05-24 16:08:25,2000-05-25 09:08:25
A. Miller,P. Novack-Gottshall,,485,,Sichuan Stratigraphic Work Group,,,,1978,"Regional stratigraphic table of the southwestern region of China, Sichuan part","Geological Publishing House, Beijing, China",,,,,,,stated without evidence,,,,,NA,2000-05-30 08:52:08,2000-05-31 01:52:08
J. Alroy,M. Sommers,J. Alroy,491,J.,Sprinkle,R. C.,Gutschick,,1967,"Costatoblastus, a channel fill blastoid from the Sappington Formation of Montana",Journal of Paleontology,,41,2,385,401,journal article,stated without evidence,,,,,NA,2000-06-01 13:33:48,2009-11-23 09:25:29
L. Ivany,E. Kowalski,J. Alroy,531,W. J.,Zinsmeister,R. M.,Feldmann,"M. O. Woodburne, D. H. Elliot",1989,"Latest Cretaceous/Earliest Tertiary Transition on Seymour Island, Antarctica",Journal of Paleontology,,63,6,731,738,journal article,stated without evidence,,,,,NA,2000-06-13 06:59:04,2009-11-23 09:26:57
L. Ivany,E. Kowalski,J. Alroy,531,W. J.,Zinsmeister,R. M.,Feldmann,"M. O. Woodburne, D. H. Elliot",1989,"Latest Cretaceous/Earliest Tertiary Transition on Seymour Island, Antarctica",Journal of Paleontology,,63,6,731,738,journal article,stated without evidence,,,,,,2000-06-13 06:59:04,2009-11-23 09:26:57
A. Miller,K. Layou,,533,J. V.,Neil,,,,1981,A Slab of Devonian Fossils From Heathcote and a Little Palaeoecology,Victorian Naturalist,,98,,204,209,,stated without evidence,,,,,NA,2000-06-14 07:05:30,2000-06-15 00:05:30
A. Miller,K. Layou,P. Wagner,535,J. A.,Talent,,,,1965,"The Silurian and Early Devonian Faunas of the Heathcote District, Victoria",Geological Survey of Victoria Memoir,,26,,1,55,journal article,stated without evidence,English,,,,NA,2000-06-14 09:42:27,2007-01-02 05:33:34
J. Alroy,M. Sommers,,540,N. G.,Lane,J. L.,Matthews,"E. G. Driscoll, E. L. Yochelson",1973,Paleontology and paleoecology of the Crawfordsville fossil site (Upper Osagian: Indiana),University of California Publications in Geological Sciences,,99,,1,141,,stated without evidence,,,,,NA,2000-06-15 14:21:27,2000-06-16 07:21:27
J. Alroy,M. Sommers,,553,S. J.,Nelson,,,,1961,Mississippian faunas of western Canada,Geological Association of Canada Special Paper,,2,,1,39,,stated without evidence,,,,,NA,2000-06-22 15:40:40,2000-06-23 08:40:40
M. Patzkowsky,P. Borkow,J. Alroy,558,J. H.,Stitt,,,,1998,"Trilobites from the Cedarina dakotaensis zone, lowermost part of the Deadwood Formation, (Marjuman Stage, Upper Cambrian), Black Hills South Dakota",Journal of Paleontology,,72,6,1030,1046,journal article,stated without evidence,,,,,NA,2000-06-28 10:24:14,2009-11-23 09:25:29
