Age;AlphaForm;BetaWForm;BetaSForm;BetaJForm;GammaForm;CollpF;Duration;RefForm;formation.name;Environments
522.6;2.1979;11.80768131;0.707728271;0.739510175;14.2;25;5;3;Campito;2
516.1533333;4.0511;17.49000114;0.939029506;0.959168585;53.068;75;20.5;2;Carrara;4
511.6691176;5.7913;8.476796394;0.793354601;0.838897723;40.446;68;5.5;3;Kaili;2
508.9259259;9.2032;2.740634551;0.322997802;0.468650611;22.444;27;2;2;Burgess Shale;1
508.7192308;2.7519;13.85724789;0.861306467;0.894957153;24.052;52;15.4;3;Emigrant;1
507.0277778;5.0673;11.51642024;0.754032884;0.81423671;47.014;27;3.25;6;Wheeler;4
507;4.1028;4.020150449;0.489493336;0.585334014;12.434;27;0;1;Tindall Limestone;1
506.9130435;11.6481;10.0479831;0.876433631;0.920200847;106.81;23;6;2;Aktas;1
503.0547619;5.2479;16.51642748;0.92644708;0.948020152;69.682;84;13.6;5;Shallow Bay;4
501.08025;8.8948;14.70578668;0.939986615;0.963648415;114.878;200;15.6;6;Huaqiao;1
497.7957143;4.7278;16.35342281;0.943529884;0.959813218;58.808;140;20.5;6;Deadwood;3
497.6538462;13.2631;12.64698123;0.933814173;0.958419196;153.954;104;9.6;3;Zhumabai;2
497.6478261;4.339;14.35347016;0.880865296;0.924352553;47.686;46;7.6;2;Huayansi;1
494.9837838;9.9915;14.70826371;0.941569235;0.964194332;132.192;37;12.35;3;Rabbitkettle;1
494.65;5.4541;7.045598365;0.736583419;0.811679108;31.372;27;0;3;Franconia;2
494.65;5.2776;9.664059065;0.812613797;0.885235145;41.276;22;0;1;Warrior;2
494.65;4.3079;5.460617296;0.526106257;0.66355687;17.898;44;0;1;Lampazar;1
493.908;6.6286;9.955727812;0.862517578;0.912297405;55.976;25;6.35;1;Ogon'or;1
493.4595238;9.5389;11.91389281;0.918579586;0.949281263;101.684;21;1.25;1;Bison Creek;4
493.4171233;5.242;8.080605795;0.758149345;0.829978734;33.664;73;1.25;2;Machari;1
493.4;10.6141;9.673701264;0.886650498;0.927389547;92.134;88;0;2;Bestogai;2
493.4;5.9731;14.71077116;0.899386062;0.936561116;72.944;32;0;3;Shenjiawan;2
483.45;3.1934;16.62225804;0.914436321;0.940829268;36.156;51;0;5;House;2
483.45;3.1335;9.428222423;0.745309415;0.823595902;20.016;36;0;1;Outram;2
483.45;2.3331;15.08370597;0.829789825;0.866400526;20.154;30;0;2;Survey Peak;3
482.2891304;3.8696;15.62916973;0.940954387;0.963534391;44.562;23;8.25;4;Goodwin;1
481.2403226;3.7377;7.974816315;0.768387655;0.824406972;21.766;31;11.15;3;Boat Harbour;3
481.1568182;8.1586;12.36907385;0.876887016;0.927036807;88.494;22;11.15;3;Deadwood;2
479.512963;3.8713;20.46594915;0.967221542;0.977721034;58.194;81;18.8;9;Fillmore;3
477.8919355;4.5117;19.24985327;0.957224591;0.971908386;67.182;62;18.8;7;Garden City;3
475.9367347;4.5642;17.10769252;0.924224741;0.953315384;60.852;49;7.75;7;Ninemile;4
